CORRECT_SENTENCE,ERRONEOUS_SENTENCE
"SHin neeni kehanne maariya Xoossaa gidiyo gishshaw, ne gita maarotettan eta muleera aggabaakkanne xayssabaakka.","hsim neeni kehanne maariya Xuussaa gidayo gizhzhaw, ne gita maarotexxam eta muleera aggabaakkanne xayssabaakka."
" ne aggenna siiquwaa maachchaa naagiyaagoo, nu bollan gakkida metoy ne sinttan laafabaa milatoppo."," ne aggenna siiquwaa maachchaa naagiyaaguu, neeni bollam gakkida metoy ne sinxxam laafabaa milatoffo."
" Beni Asoore kawotu wodiyaappe doommidi, hachchi gakkanaashin nu mayzza aawatu bollaaninne ne asa ubbaa bollan gita metoy gakkiis."," Beni Asuure kawotu wodayaaffe duummida, hachchi gakkanaahsim neeni mayzza aawatu bollaaninne ne asa ubbaa bollam gita metoy gakkaasu."
"Nuna gakkidaban ubban neeni xillo. ayssi giikko, nuuni nena naaqqikkokka neeni ammanettiyoogaa aggabaakka.","Nuna gakkidabam ubbam neeni xillo. ayssi giikko, taani nena naaqqikkokka neeni ammanexxiyuugiiaggabaakka."
nu qeesetinne nu mayzza aawati ne higgiyaa naagibookkona; qassi neeni etaw immido azazuwaanne ne mintta yootidoogaakka siyibookkona.,nu qeesetinne neeni mayzza aawata ne higgiyaa naagibuukkona; qassi neeni etaw immido azazuwaanne ne minxxa yuutiduugaakka siyibuukkona.
Neeni eta kawotettan etayyo gita anjjuwaa immadasa; ,Neeni eta kawotexxam etayyo gita anjjuwaa immadasa; 
qassi aahonne mokkiya biittaakka etayyo immadasa; shin eti neeyyo goynnibookkonanne bantta iita oosuwaappe simmibookkona.,qassi aahonne mokkiya biixxaakka etayyo immadasa; hsim eta neeyyo goynnibuukkonanne banxxa iita uusuwaaffe simmibuukkona.
"Hegaappe denddidaagan, nuuni hachchi aylle gidiyoogaa be'a.","Hegaaffe denddadaagan, taani hachchi aylle gidayuugiibe'a."
" Qassi hegeekka eti a ayfiyaanne i immiyo anjjuwaa ubbaa maana mala, nu mayzza aawatussi neeni immido he biittan, nuuni aylle gidida."," Qassi hegeekka eta a ayfiyaanne o immiyo anjjuwaa ubbaa maana mala, neeni mayzza aawatussi neeni immido he biixxan, taani aylle gidada."
"Nu nagaraa gishshaw, neeni nu bollan denttido kawoti biittaa anjjuwaa ubbaa eti go''ettoosona. ","Nu nagaraa gizhzhaw, neeni neeni bollam denxxido kawota biixxaa anjjuwaa ubbaa eta go''exxuusona. "
Qassi nu bollaaninne nu mehiyaa bollan bantta koyidobaa oottoosona; nuunikka gita metuwaa giddon de'oos yaagidosona.,Qassi neeni bollaaninne neeni mehiyaa bollam banxxa koyidobaa uuxxuusona; naanikka gita metuwaa giddom de'uus yaagidozona.
"Hanida yoho ubbaa gishshaw, nuuni haasayidi maacido maachchaa xaafida; nu Leewatinne nu qeeseti bantta maatafaa wottidosona.","Hanida yoho ubbaa gizhzhaw, taani haasayida maacido maachchaa xaafida; neeni Leewatinne neeni qeeseta banxxa maatafaa woxxidozona."
"Siinaa Bazzuwan, Xoossaa Dunkkaaniyaa giddon, Israa'eela asay Gibxxe biittaappe kiyido naa''antto layttan, , GODay Muusa hagaadan yaagiis;","Siinaa Bazzuwan, Xuussaa Dunkkaaniyaa giddon, Israa'eela asay Gibxxe biixxaaffe kiyido naa''anxxo layxxan, , GODay Maasa hagaadam yaagaasu;"
"Israa'eela asaa ubbaa eta yaran yaraaninne keettan keettan qoodada, attuma asaa eta sunttan sunttan xaafa.","Israa'eela asaa ubbaa eta yaram yaraaninne keexxam keexxam quudada, axxuma asaa eta sunxxam sunxxam xaafa."
" Aarooni yelettoosappe laatamu layttanne hegaappe bollaara de'iya Israa'eelata, olaa baanaw danddayiyaageeta ubbata, eta citan citan qooda."," Aaruuni yelexxuusaffe laatamu layxxanne hegaaffe bollaara de'iya Israa'eelata, olaa baanaw danddayiyaageeta ubbata, eta citam citam quuda."
"Zariyaappe zariyaappe issi issi asi ba keettaa asaw halaqa gididi, inttena maaddo.","Zariyaaffe zariyaaffe izzi izzi asi ba keexxaa asaw halaqa gidada, inxxena maaddo."
Inttena maaddana asatu sunttay hagaappe kaallidi de'iyaagaa Zariyaa Keettaa Asaa Halaqaa Roobeela SHade'uura na'aa Eliixuura,Inxxena maaddana asatu sunxxay hagaaffe kaallida de'iyaagiiZariyaa Keexxaa Asaa Halaqaa Ruubeela hsade'aara na'aa Eliixaara
Simoona Xuriishadaaya na'aa SHalumi'eela,Simuuna Xuraasuhadaaya na'aa hsalumi'eela
Yihudaa Aminadaaba na'aa Na'asoona,Yihudaa Aminadaaba na'aa Na'asuuna
Yisaakoora Xu'aara na'aa Nataani'eela,Yisaakuura Xu'aara na'aa Nataani'eela
Zaabiloona Heloona na'aa Eli'aaba,Zaabiluuna Heluuna na'aa Eli'aaba
Efireema Amihuuda na'aa Elishamaa'a Minaase Padaaxuura na'aa Gamaali'eela,Efireema Amihaada na'aa Elihsamaa'a Minaase Padaaxaara na'aa Gamaali'eela
Biniyaama Giidi'oona na'aa Abidaana,Biniyaama Giida'uuna na'aa Abidaana
Daana Amishadaaya na'aa Ahi'eezera,Daana Amihsadaaya na'aa Ahi'eezera
Aseera Okiraana na'aa Paagi'eela,Aseera Okiraana na'aa Paagi'eela
Gaada Da'u'eela na'aa Eliyasaafa,Gaada Da'u'eela na'aa Eliyasaafa
Nifttaaleema Enaana na'aa Ahiraa'a,Nifxxaaleema Enaana na'aa Ahiraa'a
Ha asati bantta aawatu keettaa asatuppe kaalettanaw doorettidaageeta; eti Israa'eela yaratuyyo halaqata yaagiis.,Ha asata banxxa aawatu keexxaa asatuffe kaalexxanaw duurexxidaageeta; eta Israa'eela yaratuyyo halaqata yaagaasu.
Yaagin Muuseenne Aarooni sunttay xeesettido ha asata efiidosona.,Yaagim Maaseenne Aaruuni sunxxay xeesexxido ha asata efiidozona.
"Naa''antta aginan koyro gallassi kumetta maabaraa xeesidi, issippe shiishshidosona. ","Naa''anxxa aginam koyro gallassi kumexxa maabaraa xeesida, izziffe hsaasuhhsidozona. "
 yelettoosappe laatamu layttanne hegaappe bollaara de'iya attumaasatu ubbaa sunttay muleera xaafettiis., yelexxuusaffe laatamu layxxanne hegaaffe bollaara de'iya axxumaasatu ubbaa sunxxay muleera xaafexxaasu.
"GODay a azazidoogaadan, Muusee eta Siinaa Bazzuwan qoodiis.","GODay a azaziduugaadan, Maasee eta Siinaa Bazzuwam quudaasu."
"Olaw baanaw danddayiya attumaasati ubbay, laatamu layttanne hegaappe bollaara de'iyaageeti qoodettidi, huuphiyan huuphiyan xaafettidosona. ","Olaw baanaw danddayiya axxumaasata ubbay, laatamu layxxanne hegaaffe bollaara de'iyaageeta quudexxida, haaphiyam haaphiyam xaafexxidozona. "
"Eti bantta yaran yaraaninne bantta keettan keettan shaahettidi, hagaappe kaallidi de'iya qoodan mazggafettidosona.","Eta banxxa yaram yaraaninne banxxa keexxam keexxam hsaahexxida, hagaaffe kaallida de'iya quudam mazggafexxidozona."
" Zariyaa Olanchchatu Qoodaa Roobeela (Yaaqooba na'aa bayraa) 46,500"," Zariyaa Olanchchatu Quudaa Ruubeela (Yaaquuba na'aa bayraa) 46,500"
"Muusee, Aarooninne tammanne naa''u Israa'eela zaretu halaqati qoodido asay hagaa.","Maasee, Aaruuninne tammanne naa''u Israa'eela zaretu halaqata quudado asay hagaa."
Olaw baanaw danddayiya attumaasati ubbay laatamn  de'iyaageeti bantta aawaa keettan keettan qoodettidosona.,Olaw baanaw danddayiya axxumaasata ubbay laatamm  de'iyaageeta banxxa aawaa keexxam keexxam quudexxidozona.
"Hegeeti muleera 603,550.","Hegeeta muleera 603,550."
SHin Leewa zareti ha qoodettida asaara qoodettibookkona.,hsim Leewa zareta ha quudexxida asaara quudexxibuukkona.
"ayssi giikko, GODay Muusa hagaadan yaagiis;","ayssi giikko, GODay Maasa hagaadam yaagaasu;"
Leewa zareta qoodoppa; eta attida Israa'eelatu qoodan yeggoppa.,Leewa zareta quudoffa; eta axxida Israa'eelatu quudam yeggoffa.
Leewata Xoossaa Dunkkaaniyaa bollaaninne a giddon de'iya miishshatu ubbaa bollan halaqa oottada suntta.,Leewata Xuussaa Dunkkaaniyaa bollaaninne a giddom de'iya maasuhhsatu ubbaa bollam halaqa uuxxada sunxxa.
 Eti he Dunkkaaniyaanne a giddon de'iya miishshata tookkona; eti a giddon oottonanne a yuushuwan dunkkaanona., Eta he Dunkkaaniyaanne a giddom de'iya maasuhhsata tuukkona; eta a giddom uuxxonanne a yaahsuwam dunkkaanona.
Xoossaa Dunkkaanee shodettiyo wode Leewati shoddona; Xoossaa Dunkkaanee eqqiyo wodekka Leewati essona. ,Xuussaa Dunkkaanee hsodexxiyo wode Leewata hsoddona; Xuussaa Dunkkaanee eqqiyo wodekka Leewata essona. 
"Israa'eela asati ubbay bantta armman armmaaninne bantta citan citan shaahettidi, bantta dunkkaaniyaa dunkkaanona.","Israa'eela asata ubbay banxxa armmam armmaaninne banxxa citam citam hsaahexxida, banxxa dunkkaaniyaa dunkkaanona."
"SHin GODAA hanqqoy Israa'eela maabaraa bolli wodhdhenna mala, Leewati Xoossaa Dunkkaaniyaa yuushuwan bantta dunkkaaniyaa dunkkaanona","hsim GODAA hanqqoy Israa'eela maabaraa bolli woggenna mala, Leewata Xuussaa Dunkkaaniyaa yaahsuwam banxxa dunkkaaniyaa dunkkaanona"
Israa'eelati hagaa ubbaa GODay Muusa azazidoogaadan oottidosona.,Israa'eelata hagiiubbaa GODay Maasa azaziduugaadam uuxxidozona.
GODay Muusa hagaadan yaagiis;,GODay Maasa hagaadam yaagaasu;
yaatada asaa shiiquwaw xeeganawnne qassi dunkkaanidosaappe denddanaw denttettanaadan punna.,yaatada asaa hsiiquwaw xeeganawnne qassi dunkkaanidosaaffe denddanaw denxxexxanaadam punna.
"Ha naa''u xurumbbati punettiyo wode, asay ubbay Xoossaa Dunkkaaniyaa penggee neekko shiiqo.","Ha naa''u xurumbbata punexxiyo wode, asay ubbay Xuussaa Dunkkaaniyaa penggaa neekko hsiiqo."
"SHin issi xurumbba xalaalay punettikko, Israa'eela zareta halaqati ne sintti shiiqona.","hsim izzi xurumbba xalaalay punexxikko, Israa'eela zareta halaqata ne sinxxa hsiiqona."
Neeni xurumbbaa xoqqu oottada punniyo wode Xoossaa Dunkkaaniyaappe arshsho baggaara dunkkaanida zareti denddona.,Neeni xurumbbaa xoqqu uuxxada punniyo wode Xuussaa Dunkkaaniyaaffe arzhzho baggaara dunkkaanida zareta denddona.
"Xurumbbaa naa''antto xoqqu oottada punniyo wode, tohossa baggaara dunkkaanida zareti denddona. ","Xurumbbaa naa''anxxo xoqqu uuxxada punniyo wode, tohossa baggaara dunkkaanida zareta denddona. "
Yaa'aw asaa shiishshanaw xurumbbaa punna; shin cenggurssaa xoqqu oottada punnoppa.,Yaa'aw asaa hsaasuhhsanaw xurumbbaa punna; hsim cenggurssaa xoqqu uuxxada punnoffa.
Aaroona naati qeeseti xurumbbaa punnona. Hagee neeyyoonne yiya yeleta ubbaw merina woga gido.,Aaruuna naata qeeseta xurumbbaa punnona. Hagaa neeyyuunne yiya yeleta ubbaw merina woga gido.
"Intte biittan woraajjiya intte morkkiyaara intte olettanaw kiyiyo wode, he xurumbbata xoqqu oottidi punnite. ","Inxxe biixxam woraajjiya inxxe morkkiyaara inxxe olexxanaw kiyiyo wode, he xurumbbata xoqqu uuxxida punnite. "
"Hegan GODay intte Xoossay inttena he wode hassayidi, intte morkkiyaappe inttena ashshana.","Hegam GODay inxxe Xuussay inxxena he wode hassayida, inxxe morkkiyaaffe inxxena azhzhana."
 intte xuuggiyo yarshshiyo wodenne intte issippetettaa yarshshuwaa yarshshiyo wode he xurumbbata punnite;, inxxe xaaggiyo yarzhzhiyo wodenne inxxe izziffetexxaa yarzhzhuwaa yarzhzhiyo wode he xurumbbata punnite;
" hegee Xoossaa sinttan inttena hassayissiyaagaa gidana. Taani GODAA, intte Xoossaa yaagiis."," hegaa Xuussaa sinxxam inxxena hassayizziyaagiigidana. Taani GODAA, inxxe Xuussaa yaagaasu."
"Naa''antta layttan naa''antta aginan laatamantta gallassi, shaaray Xoossaa Dunkkaaniyaa bollappe denddiis.","Naa''anxxa layxxam naa''anxxa aginam laatamanxxa gallassi, hsaaray Xuussaa Dunkkaaniyaa bollaffe denddaasu."
"Hegaappe guyyiyan, Israa'eela asay Siinaa Bazzuwaappe denddiis; ","Hegaaffe guyyiyan, Israa'eela asay Siinaa Bazzuwaaffe denddaasu; "
shaaray Paaraana giyo bazzuwaa gakkidi wodhdhiis.,hsaaray Paaraana giyo bazzuwaa gakkida woggaasu.
Eti ha koyro buussaw GODay Muuse baggaara azazidoogaadan denddidosona.,Eta ha koyro baassaw GODay Maase baggaara azaziduugaadam denddadozona.
Yihudaa zaretuura dunkkaanida baggay bantta armmaa oyqqidi denddiis.,Yihudaa zaretaara dunkkaanida baggay banxxa armmaa oyqqida denddaasu.
 Yihudaa zaretu halaqay Aminadaaba na'aa Na'asoona;, Yihudaa zaretu halaqay Aminadaaba na'aa Na'asuuna;
Yisaakoora zaretu halaqay Xu'aara na'aa Nataani'eela;,Yisaakuura zaretu halaqay Xu'aara na'aa Nataani'eela;
Zaabiloona zaretu halaqay Heloona na'aa Eli'aaba.,Zaabiluuna zaretu halaqay Heluuna na'aa Eli'aaba.
"Hegaappe guyyiyan, Xoossaa Dunkkaaniyaa shoddin, Gershshoona yaratinne Maraara yarati tookkidi denddidosona.","Hegaaffe guyyiyan, Xuussaa Dunkkaaniyaa hsoddan, Gerzhzhuuna yaratinne Maraara yarata tuukkida denddadozona."
Kaallidi Roobeela zaretuura dunkkaanida baggay bantta armmaa oyqqidi denddiis.,Kaallida Ruubeela zaretaara dunkkaanida baggay banxxa armmaa oyqqida denddaasu.
Simoona zaretu halaqay Xuriishadaaya na'aa SHalumi'eela;,Simuuna zaretu halaqay Xuraasuhadaaya na'aa hsalumi'eela;
Gaada zaretu halaqay Da'u'eela na'aa Eliyasaafa.,Gaada zaretu halaqay Da'u'eela na'aa Eliyasaafa.
"Hegaappe guyyiyan, Qahaata yarati geeshsha miishshata tookkidi denddidosona. ","Hegaaffe guyyiyan, Qahaata yarata geezhzha maasuhhsata tuukkida denddadozona. "
"Eti gakkanaappe kasetidi, Xoossaa Dunkkaanee toletti uttiis.","Eta gakkanaaffe kasetida, Xuussaa Dunkkaanee tolexxa uxxaasu."
Kaallidi Efireema zaretuura dunkkaanida baggay ba armmaa oyqqidi denddiis. ,Kaallida Efireema zaretaara dunkkaanida baggay ba armmaa oyqqida denddaasu. 
Efireema zaretu halaqay Amihuuda na'aa Elishamaa'a;,Efireema zaretu halaqay Amihaada na'aa Elihsamaa'a;
Minaase zaretu halaqay Padaaxuura na'aa Gamaali'eela;,Minaase zaretu halaqay Padaaxaara na'aa Gamaali'eela;
Biniyaama zaretu halaqay Giidi'oona na'aa Abidaana.,Biniyaama zaretu halaqay Giida'uuna na'aa Abidaana.
"Wurssettan, ha cita ubbaayyo guyye baggan naagiya Daana zaretuura dunkkaanida baggay ba armmaa oyqqidi denddiis. ","Wurssexxan, ha cita ubbaayyo guyye baggam naagiya Daana zaretaara dunkkaanida baggay ba armmaa oyqqida denddaasu. "
Daana zaretu halaqay Amishadaaya na'aa Ahi'eezera;,Daana zaretu halaqay Amihsadaaya na'aa Ahi'eezera;
Aseera zaretu halaqay Okiraana na'aa Paagi'eela;,Aseera zaretu halaqay Okiraana na'aa Paagi'eela;
Nifttaaleema zaretu halaqay Enaana na'aa Ahiraa'a.,Nifxxaaleema zaretu halaqay Enaana na'aa Ahiraa'a.
Israa'eela asay ba baggan baggan denddidi biyo maaray hagaadaana.,Israa'eela asay ba baggam baggam denddada biyo maaray hagaadaana.
"Yatiro na'aa Hobaaba, Nuuni GODay, Taani intteyyo immanagiido sohuwaa boos; ","Yatiro na'aa Hobaaba, Naani GODay, Taani inxxeyyo immanagiido sohuwaa buus; "
"GODay Israa'eelayyo lo''obaa oottana giido gishshaw, neeni nunaara hindda. Nuuni neeyyo lo''obaa oottana yaagiis.","GODay Israa'eelayyo lo''obaa uuxxana giido gizhzhaw, neeni nunaara hindda. taani neeyyo lo''obaa uuxxana yaagaasu."
"Yaagin Hobaabi, CHii, taani biikke; taani ta biitti ta asaakko baana yaagiis.","Yaagim Hobaabi, CHii, taani biikke; taani ne biixxa ne asaakko baana yaagaasu."
"Yaagin Muusee a, Hayyanaa, nuna yeggada boopparkkii!  neeni nu biyo ogiyaa nuna kaalettanawkka danddayaasa.","Yaagim Maasee a, Hayyanaa, nu yeggada buuffarkkii!  neeni neeni biyo ogiyaa nu kaalexxanawkka danddayaasa."
Bazzuwan nuuni dunkkaananaw bessiyaasaa neeni eraasa;,Bazzuwam taani dunkkaananaw bessiyaasaa neeni eraasa;
"Neeni nunaara biikko, GODay nuuyyo immiyo anjjuwaa ubbaa nuuni nenaara shaakkana yaagiis.","Neeni nunaara biikko, GODay naayyo immiyo anjjuwaa ubbaa taani nenaara hsaakkana yaagaasu."
"Yaatin eti GODAA deriyaappe denddidi, heezzu gallassa keena ogiyaa biidosona. ","Yaatim eta GODAA deriyaaffe denddada, heezzu gallassa keena ogiyaa biidozona. "
GODAA Maachchaa Taabootay eti shemppiyo sohuwaa demmanaw he heezzu gallassan etappe sinttaw biis.,GODAA Maachchaa Taabuutay eta hsemffiyo sohuwaa demmanaw he heezzu gallassam etaffe sinxxaw baasu.
"Eti dunkkaanidosaappe denddiyo wode ubban, GODAA shaaray gallassi gallassi etappe bollaara de'ees.","Eta dunkkaanidosaaffe denddayo wode ubban, GODAA hsaaray gallassi gallassi etaffe bollaara de'ees."
"Muusee, Abeet GODaw, dendda! Ne morkketi laalettona; Nena ixxiyaageetakka ne sinttappe baqatona yaagees.","Maasee, Abeet GODaw, dendda! Ne morkketa laalexxona; Nena ixxiyaageetakka ne sinxxaffe baqatona yaagees."
"Taabootay shemppiyo wode ubban Muusee, Abeet GODaw, ha daro sha'an qoodettiya Israa'eela asaakko neeni simma yaagees.","Taabuutay hsemffiyo wode ubbam Maasee, Abeet GODaw, ha daro hsa'am quudexxiya Israa'eela asaakko neeni simma yaagees."
Asay ba metuwaayyo GODAA bolli zuuzummiis;  ,Asay ba metuwaayyo GODAA bolli zaazummaasu;  
"Yaatin GODAA tamay eta gidduwan eexxidi, eti dunkkaanidosaayyo issi issi gaxaa baggaa miis.","Yaatim GODAA tamay eta gidduwam eexxida, eta dunkkaanidosaayyo izzi izzi gaxaa baggiimaasu."
"eti zuuzummishin GODay siyidi, hanqquwaa eexxi kiyiis.","eta zaazummihsim GODay siyida, hanqquwaa eexxi kiyaasu."
"Yaatin asay Muuseyyo waassin, Muusee GODAA woossiis. Woossin tamay to'iis.","Yaatim asay Maaseyyo waassin, Maasee GODAA wuussaasu. Wuussim tamay to'aasu."
"GODAA tamay eta gidduwan eexxido gishshaw, he sohoy Tabi'eera geetetti xeesettiis.","GODAA tamay eta gidduwam eexxido gizhzhaw, he sohoy Tabi'eera geetexxa xeesexxaasu."
Israa'eelatuura de'iya dumma dumma dere asay hara qumaa keehi amottiis.,Israa'eelataara de'iya dumma dumma dere asay hara qumaa keehi amoxxaasu.
 Israa'eela asaykka qassi hagaadan yaagidi yeehuwaa doommiis; , Israa'eela asaykka qassi hagaadam yaagida yeehuwaa duummaasu; 
Nuuni Gibxxe biittan miishsha qanxxennan coo miyo moliyaa hassayeettees;,Naani Gibxxe biixxam maasuhhsa qanxxennam cuu miyo moliyaa hassayeexxees;
"zolddo leehe milatiya mal''iya haattay kumido meelooniyaa, adussa paranjja sunkkuruutuwaanne tuummuwaa hassayeettees.","zolddo leehe milatiya mal''iya haaxxay kumido meeluuniyaa, adussa paranjja sunkkuraatuwaanne taammuwaa hassayeexxees."
"SHin ha''i nu qooree gorddettiis; nu ayfeekka ha mannaappe attin, harabaa aynne be'enna yaagidosona.","hsim ha''i neeni quuree gorddexxaasu; neeni ayfeekka ha mannaaffe axxin, harabaa aynne be'enna yaagidozona."
Mannay deebbuwaa ayfiyaa milatees; a meray booxxiya adil''e ciishshaa milatees.,Mannay deebbuwaa ayfiyaa milatees; a meray buuxxiya adal''e caasuhhsaa milatees.
"Asay yuuyi yuuyi a qorees; qoridi woxan gaaccees, woykko udulan caddees; eti a otuwan penttissidi, bashiyan komppoosona.","Asay yaayi yaayi a qorees; qorida woxam gaaccees, woykko udulam caddees; eta a otuwam penxxizzida, bahsiyam komffuusona."
 I zaytiyan munaqqidi uukkido oyttaadan mal''ees., o zaytiyam munaqqida aakkido oyxxaadam mal''ees.
"Qammi dunkkaanidosan xaazay wodhdhiyo wode, mannay aara wodhdhees.","Qammi dunkkaanidosam xaazay woggiyo wode, mannay aara woggees."
"Asay ba dunkkaaniyaa penggen penggen yeekkishin, Muusee siyiis. GODAA hanqqoy eexxi kiyido gishshaw, Muusee un''ettiis.","Asay ba dunkkaaniyaa penggem penggem yeekkihsin, Maasee siyaasu. GODAA hanqqoy eexxi kiyido gizhzhaw, Maasee un''exxaasu."
 Neeni tanan ayssi ufayttabeykkii? Neeni ha asaa ubbaa toohuwaa ta bolli ayssi wottadii?, Neeni tanam ayssi ufayxxabeikkii? Neeni ha asaa ubbaa tuuhuwaa ne bolli ayssi woxxadai?
"Hegaa gishshaw, Muusee GODAA hagaadan yaagidi oychchiis; Neeni ta bolli ne ashkkaraa bolli ayssi ha metuwaa ehaadii?","Hegiigizhzhaw, Maasee GODAA hagaadam yaagida oychchaasu; Neeni ne bolli ne ahskkaraa bolli ayssi ha metuwaa ehaadai?"
Ha asaa ubbaa taani shahaaridanaayye? Woykko eta taani yelidanaa? ,Ha asaa ubbaa taani hsahaaridanaayye? Woykko eta taani yelidanaa? 
"Neeni eta mayzza aawatuyyo, neeni eta ne qesiyan idimmayaagada taayyo ayssi yootay?""","Neeni eta mayzza aawatuyyo, neeni eta ne qesiyam idammayaagada taayyo ayssi yuutay?"""
"Ha asaw ubbaw taani asho awppe demmanee? Eti tana, Miyo asho nuuyyo immayaagidi yeekkoosona.","Ha asaw ubbaw taani ahso awffe demmanee? Eta tana, Miyo ahso naayyo immayaagida yeekkuusona."
Taani ha asaa ubbaa tarkka tookkana danddayikke; toohoy taw keehi deexxees.,Taani ha asaa ubbaa tarkka tuukkana danddayikke; tuuhoy taw keehi deexxees.
Simmi neeni tana hagaadan metootanaadan oottanaagaappe taayyo qarettada tana ha''i wora baya; yaatikko yaagiis.,Simmi neeni tana hagaadam metuutanaadam uuxxanaagaaffe taayyo qarexxada tana ha''i wora baya; yaatikko yaagaasu.
"GODay Muusa, Israa'eela cimatuppe kaalettiyaageetanne halaqata gidiya, neeni eriyo laappun tammu cimata taayyo shiishsha; ","GODay Maasa, Israa'eela cimatuffe kaalexxiyaageetanne halaqata gidaya, neeni eriyo laaffum tammu cimata taayyo hsaasuhhsa; "
"eti nenaara yan eqqana mala, Xoossaa Dunkkaaniyaakko, eta neeni eha.","eta nenaara yam eqqana mala, Xuussaa Dunkkaaniyaakko, eta neeni eha."
"Taani duge wodhdhada nenaara yan haasayana; taani nenan de'iya Ayyaanaappe ekkada, he Ayyaanaa eta bolli wottana.","Taani duge woggada nenaara yam haasayana; taani nenam de'iya Ayyaanaaffe ekkada, he Ayyaanaa eta bolli woxxana."
" Neeni nerkka tookkenna mala, eti asaa toohuwaa tookkidi, nena maaddana."," Neeni nerkka tuukkenna mala, eta asaa tuuhuwaa tuukkida, nena maaddana."
"Neeni asaassi hagaadan gaada yoota, Wonttoyyo inttena geeshshite; yaatidi intte ashuwaa maana. ","Neeni asaassi hagaadam gaada yuuta, Wonxxoyyo inxxena geezhzhite; yaatida inxxe ahsuwaa maana. "
"Intte, Laa nuuni asho awppe demmanee? Nuuyyo Gibxxe biittan sa'ay lo''o shin! yaagidi yeekkidoogaa GODay siyiis. ","Inxxe, Laa taani ahso awffe demmanee? Naayyo Gibxxe biixxam sa'ay lo''o hsin! yaagida yeekkiduugiiGODay siyaasu. "
GODay ashuwaa ha''i intteyyo immana; immin intte maana.,GODay ahsuwaa ha''i inxxeyyo immana; immim inxxe maana.
" intte, Nuuni Gibxxe biittaappe ayssi kiyidonii? yaagidi a sinttan yeekkido gishshaw, issi agina kumettaa intte asho maanayaaga yaagiis."," inxxe, Naani Gibxxe biixxaaffe ayssi kiyidonii? yaagida a sinxxam yeekkido gizhzhaw, izzi agina kumexxaa inxxe ahso maanayaaga yaagaasu."
